PLAYER;AGE;GP;W;TS.PCT;USG.PCT;POSS;3PTS.PCT;FG.PCT;PTS;REB;AST;TOV;STL;BLK;EFF;SALARY
Collin Sexton;23;11;7;52.3;26.4;663;24.4;45;16;3.3;2.1;2.8;0.9;0;11.1;6.35
Ed Davis;33;31;15;63.2;6.2;406;0;68.8;0.9;2.1;0.2;0.2;0.1;0.3;3;2.64
Dylan Windler;25;50;28;51.9;11.5;928;30;37.8;2.2;1.8;0.7;0.3;0.3;0.1;3.4;2.24
Moses Brown;22;40;19;61.2;19.9;723;0;59.3;4.3;3.4;0;0.5;0.2;0.4;6;1.93
Dean Wade;25;51;27;58.4;10.7;1996;0;0;0;0;0;0;0;0;0;1.78
Kevin Pangos;33;74;38;59.4;23.9;3487;23.1;32.6;1.6;0.5;1.3;0.3;0.1;0;1.8;1.57
Tim Hardaway Jr.;30;42;24;52;21.4;2517;33.6;39.4;14.2;3.7;2.2;0.8;0.9;0.1;12.1;21.31
Spencer Dinwiddie;29;67;38;54.3;20.8;4052;33.9;41.6;13.7;4.2;5.2;1.6;0.7;0.2;15.1;19.31
Davis Bertans;29;56;32;53.1;16.5;1681;33.5;36;5.6;2.1;0.6;0.3;0.3;0.2;5.3;16
Dwight Powell;30;82;52;72.5;13.6;3556;35.1;67.1;8.7;4.9;1.2;0.8;0.5;0.5;12.8;11.08
Luka Doncic;23;65;44;57.1;36.8;4604;35.3;45.7;28.4;9.1;8.7;4.5;1.2;0.6;29.9;10.17
Reggie Bullock;30;70;29;53.8;18;2842;36;40.1;8.6;3.5;1.2;0.6;0.6;0.2;9;9.54
Maxi Kleber;30;59;36;53.7;13.1;2916;50;66.7;1;0;0.6;0.2;0;0;1.2;8.75
Dorian Finney-Smith;29;80;51;60.4;13.8;5227;39.5;47.1;11;4.7;1.9;1;1.1;0.5;13.3;4
Boban Marjanovic;33;23;15;61.5;31.1;265;25;60;4.3;1.7;0.1;0.7;0;0.1;3.9;3.5
Trey Burke;29;42;24;47.5;25;909;31.7;39.1;5.1;0.8;1.4;0.6;0.3;0;3.9;3.15
Sterling Brown;27;49;31;49.5;12.4;1313;30.4;38.1;3.3;3;0.7;0.5;0.3;0.1;4.9;3
Josh Green;21;67;44;57.8;13;2170;34.3;50.4;14.9;7.2;4.1;2.1;1.1;0.2;19.3;2.96
Jalen Brunson;25;79;50;58.3;21.5;5036;32.8;50.3;9.2;6;0.5;0.8;0.3;0.8;12.1;1.8
Frank Ntilikina;23;58;34;51.3;16.5;1416;34.2;39.9;4.1;1.4;1.2;0.5;0.5;0.1;4.5;1.79
Nikola Jokic;27;74;46;66.1;30.9;5136;33.7;58.3;27.1;13.8;7.9;3.8;1.5;0.9;38.8;31.04
Aaron Gordon;26;75;46;60.2;19.4;4908;33.5;52;15;5.9;2.5;1.8;0.6;0.6;16.7;16.41
